french_name;english_name;scientific_name;famille;ordre;color1;color2;status;
Cassenoix moucheté;Eurasian Nutcracker;Nucifraga caryocatactes;PASSERIFORMES;Corvidae;Noir;Blanc;None;
Crave à bec rouge;Red-billed Chough;Pyrrhocorax pyrrhocorax;PASSERIFORMES;Corvidae;Noir;Rouge;None;
Chocard à bec jaune;Yellow-billed Chough;Pyrrhocorax graculus;PASSERIFORMES;Corvidae;Noir;Jaune;None;
Choucas des tours;Eurasian Jackdaw;Corvus monedula;PASSERIFORMES;Corvidae;Noir;None;None;
Choucas de Daourie;Daurian Jackdaw;Corvus dauuricus;PASSERIFORMES;Corvidae;Noir;Blanc;Rare/Accidental;
Corbeau familier;House Crow;Corvus splendens;PASSERIFORMES;Corvidae;Noir;None;Introduced species;
Corbeau freux;Rook;Corvus frugilegus;PASSERIFORMES;Corvidae;Noir;None;None;
Corneille noire;Carrion Crow;Corvus corone;PASSERIFORMES;Corvidae;Noir;None;None;
Corneille mantelée;Hooded Crow;Corvus cornix;PASSERIFORMES;Corvidae;Noir;Blanc;None;
Corbeau pie;Pied Crow;Corvus albus;PASSERIFORMES;Corvidae;Noir;Blanc;Rare/Accidental;
Corbeau à queue courte;Fan-tailed Raven;Corvus rhipidurus;PASSERIFORMES;Corvidae;Noir;None;Rare/Accidental;
Grand Corbeau;Common Raven;Corvus corax;PASSERIFORMES;Corvidae;Noir;None;None;
Mésange noire;Coal Tit;Periparus ater;PASSERIFORMES;Paridae;Noir;Gris;None;
Mésange huppée;Crested Tit;Lophophanes cristatus;PASSERIFORMES;Paridae;Noir;Gris;None;
Mésange nonnette;Marsh Tit;Poecile palustris;PASSERIFORMES;Paridae;Noir;Blanc;None;
Mésange boréale;Willow Tit;Poecile montanus;PASSERIFORMES;Paridae;Noir;Marron clair;None;
Mésange bleue;Eurasian Blue Tit;Cyanistes caeruleus;PASSERIFORMES;Paridae;Bleu;Jaune;None;
Mésange charbonnière;Great Tit;Parus major;PASSERIFORMES;Paridae;Noir;Jaune;None;
Rémiz penduline;Eurasian Penduline-Tit;Remiz pendulinus;PASSERIFORMES;Remizidae;Marron;Noir;None;
Ammomane élégante;Bar-tailed Lark;Ammomanes cinctura;PASSERIFORMES;Alaudidae;Marron;Blanc;Rare/Accidental;
Alouette hausse-col;Horned Lark;Eremophila alpestris;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Alouette calandrelle;Greater Short-toed Lark;Calandrella brachydactyla;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Alouette monticole;Bimaculated Lark;Melanocorypha bimaculata;PASSERIFORMES;Alaudidae;Marron;Blanc;Rare/Accidental;
Alouette calandre;Calandra Lark;Melanocorypha calandra;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Alouette de Dupont;Dupont's Lark;Chersophilus duponti;PASSERIFORMES;Alaudidae;Marron;Blanc;Rare/Accidental;
Alouette pispolette;Mediterranean Short-toed Lark;Alaudala rufescens;PASSERIFORMES;Alaudidae;Marron;Blanc;Rare/Accidental;
Alouette lulu;Wood Lark;Lullula arborea;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Alouette des champs;Eurasian Skylark;Alauda arvensis;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Cochevis de Thékla;Thekla's Lark;Galerida theklae;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Cochevis huppé;Crested Lark;Galerida cristata;PASSERIFORMES;Alaudidae;Marron;Blanc;None;
Panure à moustaches;Bearded Reedling;Panurus biarmicus;PASSERIFORMES;Panuridae;Marron;Gris;None;
Cisticole des joncs;Zitting Cisticola;Cisticola juncidis;PASSERIFORMES;Cisticolidae;Marron;Blanc;None;
Hypolaïs bottée;Booted Warbler;Iduna caligata;PASSERIFORMES;Acrocephalidae;Marron;Blanc;Rare/Accidental;
Hypolaïs rama;Sykes's Warbler;Iduna rama;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Hypolaïs pâle;Eastern Olivaceous Warbler;Iduna pallida;PASSERIFORMES;Acrocephalidae;Marron;Blanc;Rare/Accidental;
Hypolaïs obscure;Western Olivaceous Warbler;Iduna opaca;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Hypolaïs polyglotte;Melodious Warbler;Hippolais polyglotta;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Hypolaïs ictérine;Icterine Warbler;Hippolais icterina;PASSERIFORMES;Acrocephalidae;Marron;Jaune;None;
Phragmite aquatique;Aquatic Warbler;Acrocephalus paludicola;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Lusciniole à moustaches;Moustached Warbler;Acrocephalus melanopogon;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Phragmite des joncs;Sedge Warbler;Acrocephalus schoenobaenus;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Rousserolle isabelle;Paddyfield Warbler;Acrocephalus agricola;PASSERIFORMES;Acrocephalidae;Marron;None;Rare/Accidental;
Rousserolle des buissons;Blyth's Reed Warbler;Acrocephalus dumetorum;PASSERIFORMES;Acrocephalidae;Marron foncé;Blanc;Rare/Accidental;
Rousserolle verderolle;Marsh Warbler;Acrocephalus palustris;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Rousserolle effarvatte;Common Reed Warbler;Acrocephalus scirpaceus;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Rousserolle turdoïde;Great Reed Warbler;Acrocephalus arundinaceus;PASSERIFORMES;Acrocephalidae;Marron;Blanc;None;
Locustelle fasciée;Gray's Grasshopper Warbler;Helopsaltes fasciolatus;PASSERIFORMES;Locustellidae;Marron foncé;None;Rare/Accidental;
Locustelle de Pallas;Pallas's Grasshopper Warbler;Helopsaltes certhiola;PASSERIFORMES;Locustellidae;Marron foncé;Blanc;Rare/Accidental;
Locustelle lancéolée;Lanceolated Warbler;Locustella lanceolata;PASSERIFORMES;Locustellidae;Marron;Blanc;Rare/Accidental;
Locustelle fluviatile;River Warbler;Locustella fluviatilis;PASSERIFORMES;Locustellidae;Gris;Rose;Rare/Accidental;
Locustelle luscinioïde;Savi's Warbler;Locustella luscinioides;PASSERIFORMES;Locustellidae;Marron;Blanc;None;
Locustelle tachetée;Common Grasshopper Warbler;Locustella naevia;PASSERIFORMES;Locustellidae;Marron clair;Blanc;None;
Hirondelle paludicole;Plain Martin;Riparia paludicola;PASSERIFORMES;Hirundinidae;Marron clair;None;Rare/Accidental;
Hirondelle de rivage;Bank Swallow;Riparia riparia;PASSERIFORMES;Hirundinidae;Marron foncé;Blanc;None;
Hirondelle bicolore;Tree Swallow;Tachycineta bicolor;PASSERIFORMES;Hirundinidae;Noir;Blanc;Rare/Accidental;
Hirondelle de rochers;Eurasian Crag-Martin;Ptyonoprogne rupestris;PASSERIFORMES;Hirundinidae;Noir;None;None;
Hirondelle rustique;Barn Swallow;Hirundo rustica;PASSERIFORMES;Hirundinidae;Noir;Blanc;None;
Hirondelle de fenêtre;Western House-Martin;Delichon urbicum;PASSERIFORMES;Hirundinidae;Noir;Blanc;None;
Hirondelle rousseline;Red-rumped Swallow;Cecropis daurica;PASSERIFORMES;Hirundinidae;Noir;Roux clair;None;
Hirondelle à front blanc;Cliff Swallow;Petrochelidon pyrrhonota;PASSERIFORMES;Hirundinidae;Noir;Blanc;Rare/Accidental;
Pouillot siffleur;Wood Warbler;Phylloscopus sibilatrix;PASSERIFORMES;Phylloscopidae;Vert clair;Blanc;None;
Pouillot de Bonelli;Western Bonelli's Warbler;Phylloscopus bonelli;PASSERIFORMES;Phylloscopidae;Marron;Blanc;None;
Pouillot oriental;Eastern Bonelli's Warbler;Phylloscopus orientalis;PASSERIFORMES;Phylloscopidae;Marron clair;Blanc;Rare/Accidental;
Pouillot à grands sourcils;Yellow-browed Warbler;Phylloscopus inornatus;PASSERIFORMES;Phylloscopidae;Marron foncé;Gris;None;
Pouillot de Hume;Hume's Warbler;Phylloscopus humei;PASSERIFORMES;Phylloscopidae;Marron clair;None;Rare/Accidental;
Pouillot de Pallas;Pallas's Leaf Warbler;Phylloscopus proregulus;PASSERIFORMES;Phylloscopidae;Marron;None;Rare/Accidental;
Pouillot de Schwarz;Radde's Warbler;Phylloscopus schwarzi;PASSERIFORMES;Phylloscopidae;Marron;Blanc;Rare/Accidental;
Pouillot brun;Dusky Warbler;Phylloscopus fuscatus;PASSERIFORMES;Phylloscopidae;Marron;None;Rare/Accidental;
Pouillot fitis;Willow Warbler;Phylloscopus trochilus;PASSERIFORMES;Phylloscopidae;Marron;None;None;
Pouillot véloce;Common Chiffchaff;Phylloscopus collybita;PASSERIFORMES;Phylloscopidae;Marron;Blanc;None;
Pouillot ibérique;Iberian Chiffchaff;Phylloscopus ibericus;PASSERIFORMES;Phylloscopidae;Marron;None;None;
Pouillot de Temminck;Eastern Crowned Warbler;Phylloscopus coronatus;PASSERIFORMES;Phylloscopidae;Marron;Blanc;Rare/Accidental;
Pouillot verdâtre;Greenish Warbler;Phylloscopus trochiloides;PASSERIFORMES;Phylloscopidae;Marron foncé;Blanc;Rare/Accidental;
Pouillot à deux barres;Two-barred Warbler;Phylloscopus plumbeitarsus;PASSERIFORMES;Phylloscopidae;Marron;Blanc;Rare/Accidental;
Pouillot boréal;Arctic Warbler;Phylloscopus borealis;PASSERIFORMES;Phylloscopidae;Marron;Blanc;Rare/Accidental;
Bouscarle de Cetti;Cetti's Warbler;Cettia cetti;PASSERIFORMES;Scotocercidae;Marron;Blanc;None;
Orite à longue queue;Long-tailed Tit;Aegithalos caudatus;PASSERIFORMES;Aegithalidae;Marron;Blanc;None;
Fauvette à tête noire;Eurasian Blackcap;Sylvia atricapilla;PASSERIFORMES;Sylviidae;Marron;Gris;None;
Fauvette des jardins;Garden Warbler;Sylvia borin;PASSERIFORMES;Sylviidae;Marron;Blanc;None;
Fauvette épervière;Barred Warbler;Curruca nisoria;PASSERIFORMES;Sylviidae;Marron;Gris foncé;Rare/Accidental;
Fauvette babillarde;Lesser Whitethroat;Curruca curruca;PASSERIFORMES;Sylviidae;Gris foncé;Blanc;None;
Fauvette orphée;Western Orphean Warbler;Curruca hortensis;PASSERIFORMES;Sylviidae;Gris;Blanc;None;
Fauvette naine;Asian Desert Warbler;Curruca nana;PASSERIFORMES;Sylviidae;Marron;Gris;Rare/Accidental;
Fauvette de l'Atlas;Tristram's Warbler;Curruca deserticola;PASSERIFORMES;Sylviidae;Marron;Gris;Rare/Accidental;
Fauvette de Rüppell;Rüppell's Warbler;Curruca ruppeli;PASSERIFORMES;Sylviidae;Gris;Noir;Rare/Accidental;
Fauvette mélanocéphale;Sardinian Warbler;Curruca melanocephala;PASSERIFORMES;Sylviidae;Gris;Noir;None;
Fauvette de Moltoni;Moltoni's Warbler;Curruca subalpina;PASSERIFORMES;Sylviidae;Gris;Roux;None;
Fauvette passerinette;Western Subalpine Warbler;Curruca iberiae;PASSERIFORMES;Sylviidae;Gris;Roux;None;
Fauvette des Balkans;Eastern Subalpine Warbler;Curruca cantillans;PASSERIFORMES;Sylviidae;Gris;Roux;None;
Fauvette grisette;Greater Whitethroat;Curruca communis;PASSERIFORMES;Sylviidae;Gris;Roux;None;
Fauvette à lunettes;Spectacled Warbler;Curruca conspicillata;PASSERIFORMES;Sylviidae;Gris;Roux;None;
Fauvette sarde;Marmora's Warbler;Curruca sarda;PASSERIFORMES;Sylviidae;Gris foncé;Rouge;None;
Fauvette pitchou;Dartford Warbler;Curruca undata;PASSERIFORMES;Sylviidae;Gris foncé;Roux foncé;None;
Léiothrix jaune;Red-billed Leiothrix;Leiothrix lutea;PASSERIFORMES;Leiothrichidae;Gris foncé;Jaune;Introduced species;
Roitelet huppé;Goldcrest;Regulus regulus;PASSERIFORMES;Regulidae;Jaune;Marron;None;
Roitelet triple-bandeau;Common Firecrest;Regulus ignicapilla;PASSERIFORMES;Regulidae;Jaune;Marron;None;
Tichodrome échelette;Wallcreeper;Tichodroma muraria;PASSERIFORMES;Tichodromidae;Gris;Rouge;None;
Sittelle à poitrine rousse;Red-breasted Nuthatch;Sitta canadensis;PASSERIFORMES;Sittidae;Gris;Marron clair;Rare/Accidental;
Sittelle corse;Corsican Nuthatch;Sitta whiteheadi;PASSERIFORMES;Sittidae;Gris;Blanc;<font color="blue">Endemic</font;
Sittelle torchepot;Eurasian Nuthatch;Sitta europaea;PASSERIFORMES;Sittidae;Gris;Marron clair;None;
Grimpereau des bois;Eurasian Treecreeper;Certhia familiaris;PASSERIFORMES;Certhiidae;Marron foncé;Blanc;None;
Grimpereau des jardins;Short-toed Treecreeper;Certhia brachydactyla;PASSERIFORMES;Certhiidae;Marron foncé;Blanc;None;
Troglodyte mignon;Eurasian Wren;Troglodytes troglodytes;PASSERIFORMES;Troglodytidae;Marron;None;None;
Troglodyte des marais;Marsh Wren;Cistothorus palustris;PASSERIFORMES;Troglodytidae;Marron;Blanc;Rare/Accidental;
Cincle plongeur;White-throated Dipper;Cinclus cinclus;PASSERIFORMES;Cinclidae;Marron foncé;Blanc;None;
Étourneau sansonnet;European Starling;Sturnus vulgaris;PASSERIFORMES;Sturnidae;Noir;Blanc;None;
Étourneau unicolore;Spotless Starling;Sturnus unicolor;PASSERIFORMES;Sturnidae;Noir;None;None;
Étourneau roselin;Rosy Starling;Pastor roseus;PASSERIFORMES;Sturnidae;Noir;Marron;Rare/Accidental;
Grive dorée;White's Thrush;Zoothera aurea;PASSERIFORMES;Turdidae;Marron;Doré;Rare/Accidental;
Grive dama;Scaly Thrush;Zoothera dauma;PASSERIFORMES;Turdidae;Marron;Blanc;Rare/Accidental;
Grive fauve;Veery;Catharus fuscescens;PASSERIFORMES;Turdidae;Marron;Blanc;Rare/Accidental;
Grive à joues grises;Gray-cheeked Thrush;Catharus minimus;PASSERIFORMES;Turdidae;Marron foncé;Blanc;Rare/Accidental;
Grive à dos olive;Swainson's Thrush;Catharus ustulatus;PASSERIFORMES;Turdidae;Marron;Jaune;Rare/Accidental;
Grive solitaire;Hermit Thrush;Catharus guttatus;PASSERIFORMES;Turdidae;Marron;Jaune;Rare/Accidental;
Grive de Sibérie;Siberian Thrush;Geokichla sibirica;PASSERIFORMES;Turdidae;Noir;Blanc;Rare/Accidental;
Grive draine;Mistle Thrush;Turdus viscivorus;PASSERIFORMES;Turdidae;Marron foncé;Blanc;None;
Grive musicienne;Song Thrush;Turdus philomelos;PASSERIFORMES;Turdidae;Marron;Blanc;None;
Grive mauvis;Redwing;Turdus iliacus;PASSERIFORMES;Turdidae;Marron;Roux;None;
Merle noir;Eurasian Blackbird;Turdus merula;PASSERIFORMES;Turdidae;Noir;Jaune;None;
Merle obscur;Eyebrowed Thrush;Turdus obscurus;PASSERIFORMES;Turdidae;Marron;None;Rare/Accidental;
Grive litorne;Fieldfare;Turdus pilaris;PASSERIFORMES;Turdidae;Marron;Gris;None;
Merle à plastron;Ring Ouzel;Turdus torquatus;PASSERIFORMES;Turdidae;Noir;Blanc;None;
Grive à gorge noire;Black-throated Thrush;Turdus atrogularis;PASSERIFORMES;Turdidae;Gris;Noir;Rare/Accidental;
Grive à gorge rousse;Red-throated Thrush;Turdus ruficollis;PASSERIFORMES;Turdidae;Gris;Roux foncé;Rare/Accidental;
Grive à ailes rousses;Dusky Thrush;Turdus eunomus;PASSERIFORMES;Turdidae;Noir;Blanc;Rare/Accidental;
Grive de Naumann;Naumann's Thrush;Turdus naumanni;PASSERIFORMES;Turdidae;Marron foncé;Blanc;Rare/Accidental;
Gobemouche brun;Asian Brown Flycatcher;Muscicapa dauurica;PASSERIFORMES;Muscicapidae;Gris;Blanc;Rare/Accidental;
Gobemouche gris;Spotted Flycatcher;Muscicapa striata;PASSERIFORMES;Muscicapidae;Marron;Blanc;None;
Agrobate roux;Rufous-tailed Scrub-Robin;Cercotrichas galactotes;PASSERIFORMES;Muscicapidae;Marron;Gris;None;
Rougegorge familier;European Robin;Erithacus rubecula;PASSERIFORMES;Muscicapidae;Marron;Orange;None;
Iranie à gorge blanche;White-throated Robin;Irania gutturalis;PASSERIFORMES;Muscicapidae;Noir;Orange;Rare/Accidental;
Rossignol progné;Thrush Nightingale;Luscinia luscinia;PASSERIFORMES;Muscicapidae;Marron;None;Rare/Accidental;
Rossignol philomèle;Common Nightingale;Luscinia megarhynchos;PASSERIFORMES;Muscicapidae;Gris foncé;None;None;
Gorgebleue à miroir;Bluethroat;Luscinia svecica;PASSERIFORMES;Muscicapidae;Marron;Bleu;None;
Robin à flancs roux;Red-flanked Bluetail;Tarsiger cyanurus;PASSERIFORMES;Muscicapidae;Bleu;Roux clair;Rare/Accidental;
Gobemouche de la taïga;Taiga Flycatcher;Ficedula albicilla;PASSERIFORMES;Muscicapidae;Marron;Blanc;Rare/Accidental;
Gobemouche nain;Red-breasted Flycatcher;Ficedula parva;PASSERIFORMES;Muscicapidae;Marron;Orange;None;
Gobemouche à demi-collier;Semicollared Flycatcher;Ficedula semitorquata;PASSERIFORMES;Muscicapidae;Noir;Blanc;Rare/Accidental;
Gobemouche noir;European Pied Flycatcher;Ficedula hypoleuca;PASSERIFORMES;Muscicapidae;Noir;Blanc;None;
Gobemouche à collier;Collared Flycatcher;Ficedula albicollis;PASSERIFORMES;Muscicapidae;Noir;Blanc;None;
Rougequeue de Moussier;Moussier's Redstart;Phoenicurus moussieri;PASSERIFORMES;Muscicapidae;Noir;Orange;Rare/Accidental;
Rougequeue à front blanc;Common Redstart;Phoenicurus phoenicurus;PASSERIFORMES;Muscicapidae;Noir;Orange;None;
Rougequeue noir;Black Redstart;Phoenicurus ochruros;PASSERIFORMES;Muscicapidae;Gris foncé;Orange;None;
Monticole de roche;Rufous-tailed Rock-Thrush;Monticola saxatilis;PASSERIFORMES;Muscicapidae;Bleu;Roux;None;
Monticole bleu;Blue Rock-Thrush;Monticola solitarius;PASSERIFORMES;Muscicapidae;Bleu foncé;Roux;None;
Tarier des prés;Whinchat;Saxicola rubetra;PASSERIFORMES;Muscicapidae;Noir;Doré;None;
Tarier pâtre;European Stonechat;Saxicola rubicola;PASSERIFORMES;Muscicapidae;Noir;Roux;None;
Tarier de Sibérie;Siberian Stonechat;Saxicola maurus;PASSERIFORMES;Muscicapidae;Noir;Doré;Rare/Accidental;
Traquet motteux;Northern Wheatear;Oenanthe oenanthe;PASSERIFORMES;Muscicapidae;Gris;Noir;None;
Traquet de Seebohm;Atlas Wheatear;Oenanthe seebohmi;PASSERIFORMES;Muscicapidae;Gris;Noir;Rare/Accidental;
Traquet isabelle;Isabelline Wheatear;Oenanthe isabellina;PASSERIFORMES;Muscicapidae;Marron;Blanc;Rare/Accidental;
Traquet du désert;Desert Wheatear;Oenanthe deserti;PASSERIFORMES;Muscicapidae;Marron;Noir;Rare/Accidental;
Traquet oreillard;Western Black-eared Wheatear;Oenanthe hispanica;PASSERIFORMES;Muscicapidae;Noir;Blanc;None;
Traquet noir et blanc;Eastern Black-eared Wheatear;Oenanthe melanoleuca;PASSERIFORMES;Muscicapidae;Blanc;Noir;Rare/Accidental;
Traquet pie;Pied Wheatear;Oenanthe pleschanka;PASSERIFORMES;Muscicapidae;Noir;Gris;Rare/Accidental;
Traquet rieur;Black Wheatear;Oenanthe leucura;PASSERIFORMES;Muscicapidae;Noir;Blanc;None;
Traquet à tête blanche;White-crowned Wheatear;Oenanthe leucopyga;PASSERIFORMES;Muscicapidae;Noir;Blanc;Rare/Accidental;
Traquet kurde;Kurdish Wheatear;Oenanthe xanthoprymna;PASSERIFORMES;Muscicapidae;Gris foncé;Blanc;Rare/Accidental;
Jaseur boréal;Bohemian Waxwing;Bombycilla garrulus;PASSERIFORMES;Bombycillidae;Gris;Roux;None;
Capucin bec-de-plomb;Indian Silverbill;Euodice malabarica;PASSERIFORMES;Estrildidae;Blanc;Marron;Introduced species;
Accenteur alpin;Alpine Accentor;Prunella collaris;PASSERIFORMES;Prunellidae;Gris foncé;Roux foncé;None;
Accenteur à gorge noire;Black-throated Accentor;Prunella atrogularis;PASSERIFORMES;Prunellidae;Noir;Gris;Rare/Accidental;
Accenteur mouchet;Dunnock;Prunella modularis;PASSERIFORMES;Prunellidae;Gris;Marron;None;
Moineau domestique;House Sparrow;Passer domesticus;PASSERIFORMES;Passeridae;Marron;Gris;None;
Moineau cisalpin;Italian Sparrow;Passer italiae;PASSERIFORMES;Passeridae;Marron;Gris;None;
Moineau espagnol;Spanish Sparrow;Passer hispaniolensis;PASSERIFORMES;Passeridae;Marron;Roux;None;
Moineau friquet;Eurasian Tree Sparrow;Passer montanus;PASSERIFORMES;Passeridae;Marron;Roux foncé;None;
Moineau soulcie;Rock Sparrow;Petronia petronia;PASSERIFORMES;Passeridae;Marron;Blanc;None;
Niverolle alpine;White-winged Snowfinch;Montifringilla nivalis;PASSERIFORMES;Passeridae;Marron;Gris;None;
Bergeronnette des ruisseaux;Gray Wagtail;Motacilla cinerea;PASSERIFORMES;Motacillidae;Jaune;Gris;None;
Bergeronnette printanière;Western Yellow Wagtail;Motacilla flava;PASSERIFORMES;Motacillidae;Jaune;Gris;None;
Bergeronnette de Béringie;Eastern Yellow Wagtail;Motacilla tschutschensis;PASSERIFORMES;Motacillidae;Jaune;Gris;Rare/Accidental;
Bergeronnette citrine;Citrine Wagtail;Motacilla citreola;PASSERIFORMES;Motacillidae;Jaune;Gris;Rare/Accidental;
Bergeronnette grise;White Wagtail;Motacilla alba;PASSERIFORMES;Motacillidae;Noir;Gris;None;
Pipit de Richard;Richard's Pipit;Anthus richardi;PASSERIFORMES;Motacillidae;Marron;Blanc;None;
Pipit de Godlewski;Blyth's Pipit;Anthus godlewskii;PASSERIFORMES;Motacillidae;Marron;Blanc;Rare/Accidental;
Pipit rousseline;Tawny Pipit;Anthus campestris;PASSERIFORMES;Motacillidae;Marron;Blanc;None;
Pipit farlouse;Meadow Pipit;Anthus pratensis;PASSERIFORMES;Motacillidae;Marron;Blanc;None;
Pipit des arbres;Tree Pipit;Anthus trivialis;PASSERIFORMES;Motacillidae;Marron;Blanc;None;
Pipit à dos olive;Olive-backed Pipit;Anthus hodgsoni;PASSERIFORMES;Motacillidae;Marron;Blanc;Rare/Accidental;
Pipit de la Petchora;Pechora Pipit;Anthus gustavi;PASSERIFORMES;Motacillidae;Marron;Blanc;Rare/Accidental;
Pipit à gorge rousse;Red-throated Pipit;Anthus cervinus;PASSERIFORMES;Motacillidae;Marron;Roux;None;
Pipit spioncelle;Water Pipit;Anthus spinoletta;PASSERIFORMES;Motacillidae;Marron foncé;Blanc;None;
Pipit maritime;Rock Pipit;Anthus petrosus;PASSERIFORMES;Motacillidae;Marron;Blanc;None;
Pipit d'Amérique;American Pipit;Anthus rubescens;PASSERIFORMES;Motacillidae;Marron;Blanc;Rare/Accidental;
Pinson des arbres;Common Chaffinch;Fringilla coelebs;PASSERIFORMES;Fringillidae;Roux foncé;Gris;None;
Pinson d'Afrique;African Chaffinch;Fringilla spodiogenys;PASSERIFORMES;Fringillidae;Gris;Roux;Rare/Accidental;
Pinson du Nord;Brambling;Fringilla montifringilla;PASSERIFORMES;Fringillidae;Noir;ROux;None;
Gros-bec casse-noyaux;Hawfinch;Coccothraustes coccothraustes;PASSERIFORMES;Fringillidae;Roux;Marron;None;
Roselin cramoisi;Common Rosefinch;Carpodacus erythrinus;PASSERIFORMES;Fringillidae;Marron;Rouge;None;
Durbec des sapins;Pine Grosbeak;Pinicola enucleator;PASSERIFORMES;Fringillidae;Rouge;Marron;Rare/Accidental;
Bouvreuil pivoine;Eurasian Bullfinch;Pyrrhula pyrrhula;PASSERIFORMES;Fringillidae;Gris;Rose;None;
Roselin githagine;Trumpeter Finch;Bucanetes githagineus;PASSERIFORMES;Fringillidae;Marron;Gris;Rare/Accidental;
Roselin familier;House Finch;Haemorhous mexicanus;PASSERIFORMES;Fringillidae;Marron;Rouge;Introduced species;
Roselin de Lichtenstein;Desert Finch;Rhodospiza obsoleta;PASSERIFORMES;Fringillidae;Marron;Rose;Introduced species;
Verdier d'Europe;European Greenfinch;Chloris chloris;PASSERIFORMES;Fringillidae;Marron;jaune;None;
Linotte à bec jaune;Twite;Linaria flavirostris;PASSERIFORMES;Fringillidae;Marron;None;None;
Linotte mélodieuse;Eurasian Linnet;Linaria cannabina;PASSERIFORMES;Fringillidae;Marron;Rouge;None;
Sizerin flammé;Common Redpoll;Acanthis flammea;PASSERIFORMES;Fringillidae;Gris foncé;Rouge;None;
Sizerin cabaret;Lesser Redpoll;Acanthis cabaret;PASSERIFORMES;Fringillidae;Gris foncé;Rouge;None;
Sizerin blanchâtre;Hoary Redpoll;Acanthis hornemanni;PASSERIFORMES;Fringillidae;Gris;Rouge;Rare/Accidental;
Bec-croisé perroquet;Parrot Crossbill;Loxia pytyopsittacus;PASSERIFORMES;Fringillidae;Roux foncé;None;Rare/Accidental;
Bec-croisé des sapins;Red Crossbill;Loxia curvirostra;PASSERIFORMES;Fringillidae;Rouge;None;None;
Bec-croisé bifascié;White-winged Crossbill;Loxia leucoptera;PASSERIFORMES;Fringillidae;Rouge;Noir;Rare/Accidental;
Chardonneret élégant;European Goldfinch;Carduelis carduelis;PASSERIFORMES;Fringillidae;Marron;Rouge;None;
Venturon montagnard;Citril Finch;Carduelis citrinella;PASSERIFORMES;Fringillidae;Jaune;Gris;None;
Venturon corse;Corsican Finch;Carduelis corsicana;PASSERIFORMES;Fringillidae;Marron;Jaune;None;
Serin cini;European Serin;Serinus serinus;PASSERIFORMES;Fringillidae;Gris foncé;Jaune;None;
Tarin des aulnes;Eurasian Siskin;Spinus spinus;PASSERIFORMES;Fringillidae;Gris foncé;Jaune;None;
Plectrophane lapon;Lapland Longspur;Calcarius lapponicus;PASSERIFORMES;Calcariidae;Marron foncé;Blanc;None;
Plectrophane des neiges;Snow Bunting;Plectrophenax nivalis;PASSERIFORMES;Calcariidae;Gris foncé;Blanc;None;
Bruant mélanocéphale;Black-headed Bunting;Emberiza melanocephala;PASSERIFORMES;Emberizidae;Marron;Jaune;Rare/Accidental;
Bruant à tête rousse;Red-headed Bunting;Emberiza bruniceps;PASSERIFORMES;Emberizidae;Marron;Jaune;Rare/Accidental;
Bruant proyer;Corn Bunting;Emberiza calandra;PASSERIFORMES;Emberizidae;Marron;Blanc;None;
Bruant fou;Rock Bunting;Emberiza cia;PASSERIFORMES;Emberizidae;Marron;Gris;None;
Bruant zizi;Cirl Bunting;Emberiza cirlus;PASSERIFORMES;Emberizidae;Marron;Blanc;None;
Bruant jaune;Yellowhammer;Emberiza citrinella;PASSERIFORMES;Emberizidae;Marron;Jaune;None;
Bruant à calotte blanche;Pine Bunting;Emberiza leucocephalos;PASSERIFORMES;Emberizidae;Marron foncé;Blanc;Rare/Accidental;
Bruant à cou gris;Gray-necked Bunting;Emberiza buchanani;PASSERIFORMES;Emberizidae;Gris;Marron;Rare/Accidental;
Bruant ortolan;Ortolan Bunting;Emberiza hortulana;PASSERIFORMES;Emberizidae;Marron;Gris;None;
Bruant cendrillard;Cretzschmar's Bunting;Emberiza caesia;PASSERIFORMES;Emberizidae;Marron;Gris;Rare/Accidental;
Bruant du Sahara;House Bunting;Emberiza sahari;PASSERIFORMES;Emberizidae;Marron;Gris foncé;Rare/Accidental;
Bruant de Pallas;Pallas's Bunting;Emberiza pallasi;PASSERIFORMES;Emberizidae;Marron;Blanc;Rare/Accidental;
Bruant des roseaux;Reed Bunting;Emberiza schoeniclus;PASSERIFORMES;Emberizidae;Marron foncé;Blanc;None;
Bruant auréole;Yellow-breasted Bunting;Emberiza aureola;PASSERIFORMES;Emberizidae;Marron;Jaune;Rare/Accidental;
Bruant nain;Little Bunting;Emberiza pusilla;PASSERIFORMES;Emberizidae;Marron;Blanc;Rare/Accidental;
Bruant rustique;Rustic Bunting;Emberiza rustica;PASSERIFORMES;Emberizidae;Roux;Noir;Rare/Accidental;
